Participant ID	107
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	300	before	0	80
Training	2	0	after	1	100
400_1	1	400.0	same time	-1	60
400_1	2	400.0	same time	-1	60
400_1	3	400.0	after	1	90
400_1	4	400.0	after	1	80
400_1	5	350.0	after	1	90
400_1	6	350.0	after	1	60
400_1	7	300.0	before	0	50
400_1	8	300.0	after	1	50
400_1	9	300.0	same time	-1	30
400_1	10	300.0	after	1	50
400_1	11	250.0	same time	-1	75
400_1	12	250.0	after	1	60
400_1	13	250.0	before	0	60
400_1	14	250.0	after	1	80
400_1	15	250.0	same time	-1	70
100_1	1	100.0	before	0	70
100_1	2	100.0	after	1	60
100_1	3	100.0	after	1	50
100_1	4	50.0	after	1	80
100_1	5	50.0	before	0	30
100_1	6	50.0	same time	-1	70
100_1	7	50.0	after	1	50
100_1	8	50.0	after	1	50
100_1	9	0.0	before	0	50
100_1	10	0.0	after	1	50
100_1	11	0.0	same time	-1	60
100_1	12	0.0	same time	-1	50
100_1	13	0.0	before	0	40
100_1	14	0.0	before	0	60
100_1	15	50.0	after	1	70
400_2	1	400.0	before	0	40
400_2	2	400.0	after	1	60
400_2	3	400.0	before	0	50
400_2	4	400.0	same time	-1	60
400_2	5	400.0	before	0	30
400_2	6	450.0	same time	-1	70
400_2	7	450.0	before	0	50
400_2	8	450.0	before	0	60
400_2	9	500.0	before	0	70
400_2	10	500.0	before	0	60
400_2	11	550.0	same time	-1	60
400_2	12	550.0	before	0	70
400_2	13	550.0	same time	-1	20
400_2	14	550.0	after	1	60
400_2	15	550.0	same time	-1	60
100_2	1	100.0	same time	-1	80
100_2	2	100.0	same time	-1	75
100_2	3	100.0	same time	-1	70
100_2	4	100.0	before	0	80
100_2	5	100.0	same time	-1	70
100_2	6	100.0	same time	-1	70
100_2	7	100.0	before	0	90
100_2	8	150.0	after	1	70
100_2	9	150.0	before	0	80
100_2	10	150.0	same time	-1	80
100_2	11	150.0	before	0	60
100_2	12	200.0	after	1	40
100_2	13	200.0	same time	-1	80
100_2	14	200.0	before	0	70
100_2	15	200.0	same time	-1	60
Post_task_question	TaskGeneral	94	NA	NA	NA
Post_task_question	Difficulty	20	NA	NA	NA
Post_task_question	Breathless	2	NA	NA	NA
