Participant ID	047
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	150	after	1	70
Training	2	550	before	0	73
Training	3	150	same time	-1	80
400_1	1	400.0	before	0	70
400_1	2	400.0	before	0	50
400_1	3	450.0	same time	-1	50
400_1	4	450.0	same time	-1	67
400_1	5	450.0	before	0	40
400_1	6	450.0	after	1	40
400_1	7	450.0	after	1	50
400_1	8	400.0	same time	-1	40
400_1	9	400.0	before	0	45
400_1	10	400.0	before	0	35
400_1	11	450.0	after	1	30
400_1	12	450.0	before	0	35
400_1	13	450.0	same time	-1	5
400_1	14	450.0	before	0	40
400_1	15	500.0	same time	-1	30
100_1	1	100.0	before	0	35
100_1	2	100.0	same time	-1	20
100_1	3	100.0	same time	-1	15
100_1	4	100.0	before	0	30
100_1	5	150.0	before	0	25
100_1	6	150.0	same time	-1	30
100_1	7	150.0	before	0	20
100_1	8	200.0	same time	-1	40
100_1	9	200.0	after	1	25
100_1	10	200.0	after	1	45
100_1	11	150.0	before	0	30
100_1	12	150.0	after	1	40
100_1	13	150.0	same time	-1	45
100_1	14	150.0	same time	-1	20
100_1	15	150.0	after	1	35
400_2	1	400.0	same time	-1	50
400_2	2	400.0	before	0	50
400_2	3	400.0	before	0	55
400_2	4	450.0	after	1	42
400_2	5	450.0	same time	-1	20
400_2	6	450.0	before	0	30
400_2	7	450.0	before	0	40
400_2	8	500.0	same time	-1	45
400_2	9	500.0	same time	-1	35
400_2	10	500.0	before	0	35
400_2	11	500.0	before	0	30
400_2	12	550.0	same time	-1	45
400_2	13	550.0	same time	-1	15
400_2	14	550.0	before	0	35
400_2	15	550.0	same time	-1	30
100_2	1	100.0	same time	-1	20
100_2	2	100.0	after	1	40
100_2	3	100.0	before	0	40
100_2	4	100.0	same time	-1	35
100_2	5	100.0	same time	-1	30
100_2	6	100.0	same time	-1	40
100_2	7	100.0	after	1	35
100_2	8	100.0	same time	-1	30
100_2	9	100.0	same time	-1	20
100_2	10	100.0	after	1	25
100_2	11	50.0	same time	-1	35
100_2	12	50.0	before	0	35
100_2	13	50.0	same time	-1	20
100_2	14	50.0	before	0	40
100_2	15	100.0	same time	-1	40
Post_task_question	TaskGeneral	49	NA	NA	NA
Post_task_question	Difficulty	72	NA	NA	NA
Post_task_question	Breathless	0	NA	NA	NA
