Participant ID	103
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	550	after	1	10
Training	2	0	same time	-1	30
400_1	1	400.0	after	1	20
400_1	2	400.0	before	0	20
400_1	3	400.0	same time	-1	10
400_1	4	400.0	same time	-1	30
400_1	5	400.0	after	1	10
400_1	6	400.0	same time	-1	20
400_1	7	400.0	after	1	20
400_1	8	350.0	before	0	20
400_1	9	350.0	same time	-1	20
400_1	10	350.0	before	0	0
400_1	11	400.0	same time	-1	30
400_1	12	400.0	same time	-1	20
400_1	13	400.0	after	1	20
400_1	14	400.0	after	1	10
400_1	15	350.0	before	0	20
100_1	1	100.0	same time	-1	10
100_1	2	100.0	same time	-1	20
100_1	3	100.0	before	0	0
100_1	4	100.0	after	1	20
100_1	5	100.0	after	1	10
100_1	6	50.0	same time	-1	20
100_1	7	50.0	before	0	30
100_1	8	50.0	same time	-1	10
100_1	9	50.0	before	0	20
100_1	10	100.0	same time	-1	30
100_1	11	100.0	same time	-1	20
100_1	12	100.0	after	1	40
100_1	13	100.0	same time	-1	20
100_1	14	100.0	same time	-1	10
100_1	15	100.0	before	0	30
400_2	1	400.0	same time	-1	30
400_2	2	400.0	after	1	20
400_2	3	400.0	before	0	20
400_2	4	400.0	same time	-1	10
400_2	5	400.0	before	0	10
400_2	6	450.0	same time	-1	20
400_2	7	450.0	after	1	10
400_2	8	450.0	same time	-1	30
400_2	9	450.0	before	0	20
400_2	10	450.0	after	1	30
400_2	11	450.0	same time	-1	20
400_2	12	450.0	same time	-1	0
400_2	13	450.0	before	0	20
400_2	14	450.0	after	1	10
400_2	15	450.0	before	0	20
100_2	1	100.0	after	1	30
100_2	2	100.0	same time	-1	30
100_2	3	100.0	after	1	10
100_2	4	50.0	same time	-1	0
100_2	5	50.0	before	0	20
100_2	6	50.0	same time	-1	20
100_2	7	50.0	after	1	10
100_2	8	50.0	after	1	20
100_2	9	0.0	before	0	30
100_2	10	0.0	before	0	10
100_2	11	50.0	same time	-1	20
100_2	12	50.0	after	1	20
100_2	13	50.0	same time	-1	30
100_2	14	50.0	after	1	20
100_2	15	0.0	before	0	30
Post_task_question	TaskGeneral	54	NA	NA	NA
Post_task_question	Difficulty	100	NA	NA	NA
Post_task_question	Breathless	8	NA	NA	NA
