Participant ID	124
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	50	same time	-1	42
Training	2	350	after	1	62
400_1	1	400.0	same time	-1	72
400_1	2	400.0	same time	-1	72
400_1	3	400.0	after	1	54
400_1	4	400.0	before	0	42
400_1	5	400.0	same time	-1	28
400_1	6	400.0	after	1	72
400_1	7	400.0	same time	-1	64
400_1	8	400.0	after	1	82
400_1	9	350.0	before	0	62
400_1	10	350.0	before	0	32
400_1	11	400.0	after	1	52
400_1	12	400.0	same time	-1	32
400_1	13	400.0	before	0	32
400_1	14	400.0	after	1	68
400_1	15	400.0	same time	-1	48
100_1	1	100.0	before	0	72
100_1	2	100.0	same time	-1	84
100_1	3	100.0	same time	-1	84
100_1	4	100.0	same time	-1	84
100_1	5	100.0	same time	-1	62
100_1	6	100.0	after	1	62
100_1	7	100.0	same time	-1	62
100_1	8	100.0	before	0	74
100_1	9	100.0	after	1	38
100_1	10	100.0	same time	-1	21
100_1	11	100.0	after	1	64
100_1	12	50.0	after	1	38
100_1	13	50.0	after	1	52
100_1	14	0.0	after	1	82
100_1	15	0.0	same time	-1	62
400_2	1	400.0	before	0	15
400_2	2	400.0	same time	-1	20
400_2	3	400.0	same time	-1	40
400_2	4	400.0	after	1	70
400_2	5	400.0	after	1	25
400_2	6	350.0	same time	-1	10
400_2	7	350.0	after	1	58
400_2	8	350.0	after	1	64
400_2	9	300.0	same time	-1	71
400_2	10	300.0	same time	-1	86
400_2	11	300.0	after	1	42
400_2	12	300.0	same time	-1	72
400_2	13	300.0	same time	-1	72
400_2	14	300.0	after	1	52
400_2	15	250.0	after	1	21
100_2	1	100.0	same time	-1	48
100_2	2	100.0	same time	-1	64
100_2	3	100.0	same time	-1	60
100_2	4	100.0	after	1	28
100_2	5	100.0	same time	-1	32
100_2	6	100.0	same time	-1	48
100_2	7	100.0	after	1	72
100_2	8	50.0	same time	-1	72
100_2	9	50.0	after	1	68
100_2	10	50.0	same time	-1	48
100_2	11	50.0	after	1	52
100_2	12	0.0	same time	-1	82
100_2	13	0.0	same time	-1	68
100_2	14	0.0	after	1	82
100_2	15	0.0	after	1	82
Post_task_question	TaskGeneral	23	NA	NA	NA
Post_task_question	Difficulty	100	NA	NA	NA
Post_task_question	Breathless	9	NA	NA	NA
