Participant ID	053
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	350	before	0	50
Training	2	250	same time	-1	50
400_1	1	400.0	same time	-1	40
400_1	2	400.0	before	0	60
400_1	3	400.0	before	0	40
400_1	4	450.0	same time	-1	50
400_1	5	450.0	after	1	50
400_1	6	450.0	same time	-1	60
400_1	7	450.0	before	0	30
400_1	8	450.0	before	0	30
400_1	9	500.0	after	1	40
400_1	10	500.0	same time	-1	50
400_1	11	500.0	after	1	40
400_1	12	450.0	before	0	40
400_1	13	450.0	before	0	20
400_1	14	500.0	after	1	40
400_1	15	500.0	before	0	60
100_1	1	100.0	after	1	40
100_1	2	100.0	same time	-1	50
100_1	3	100.0	before	0	50
100_1	4	100.0	same time	-1	60
100_1	5	100.0	after	1	40
100_1	6	100.0	before	0	40
100_1	7	100.0	after	1	30
100_1	8	100.0	before	0	30
100_1	9	100.0	same time	-1	50
100_1	10	100.0	same time	-1	50
100_1	11	100.0	after	1	40
100_1	12	100.0	before	0	30
100_1	13	100.0	before	0	40
100_1	14	150.0	same time	-1	10
100_1	15	150.0	same time	-1	60
400_2	1	400.0	before	0	40
400_2	2	400.0	before	0	30
400_2	3	450.0	same time	-1	20
400_2	4	450.0	same time	-1	50
400_2	5	450.0	same time	-1	50
400_2	6	450.0	after	1	30
400_2	7	450.0	before	0	40
400_2	8	450.0	after	1	40
400_2	9	450.0	same time	-1	50
400_2	10	450.0	before	0	40
400_2	11	450.0	same time	-1	50
400_2	12	450.0	same time	-1	60
400_2	13	450.0	before	0	60
400_2	14	500.0	after	1	30
400_2	15	500.0	same time	-1	30
100_2	1	100.0	same time	-1	60
100_2	2	100.0	before	0	50
100_2	3	100.0	same time	-1	30
100_2	4	100.0	before	0	40
100_2	5	150.0	same time	-1	30
100_2	6	150.0	before	0	40
100_2	7	150.0	after	1	40
100_2	8	150.0	same time	-1	40
100_2	9	150.0	before	0	40
100_2	10	150.0	same time	-1	10
100_2	11	150.0	before	0	60
100_2	12	200.0	after	1	30
100_2	13	200.0	after	1	40
100_2	14	150.0	same time	-1	20
100_2	15	150.0	same time	-1	50
Post_task_question	TaskGeneral	75	NA	NA	NA
Post_task_question	Difficulty	69	NA	NA	NA
Post_task_question	Breathless	16	NA	NA	NA
