Participant ID	050
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	350	same time	-1	60
Training	2	550	after	1	55
400_1	1	400.0	after	1	20
400_1	2	400.0	after	1	30
400_1	3	350.0	same time	-1	30
400_1	4	350.0	same time	-1	25
400_1	5	350.0	before	0	45
400_1	6	350.0	same time	-1	35
400_1	7	350.0	after	1	5
400_1	8	350.0	same time	-1	65
400_1	9	350.0	same time	-1	45
400_1	10	350.0	after	1	25
400_1	11	300.0	after	1	45
400_1	12	300.0	same time	-1	32
400_1	13	300.0	same time	-1	18
400_1	14	300.0	same time	-1	45
400_1	15	300.0	same time	-1	50
100_1	1	100.0	before	0	75
100_1	2	100.0	before	0	60
100_1	3	150.0	before	0	35
100_1	4	150.0	before	0	55
100_1	5	200.0	same time	-1	20
100_1	6	200.0	after	1	45
100_1	7	200.0	after	1	10
100_1	8	150.0	same time	-1	85
100_1	9	150.0	same time	-1	65
100_1	10	150.0	before	0	5
100_1	11	150.0	after	1	12
100_1	12	150.0	after	1	48
100_1	13	100.0	after	1	22
100_1	14	100.0	same time	-1	95
100_1	15	100.0	same time	-1	60
400_2	1	400.0	after	1	25
400_2	2	400.0	after	1	5
400_2	3	350.0	same time	-1	60
400_2	4	350.0	after	1	15
400_2	5	350.0	same time	-1	55
400_2	6	350.0	same time	-1	20
400_2	7	350.0	same time	-1	5
400_2	8	350.0	after	1	18
400_2	9	300.0	same time	-1	20
400_2	10	300.0	after	1	38
400_2	11	300.0	same time	-1	20
400_2	12	300.0	same time	-1	25
400_2	13	300.0	after	1	12
400_2	14	250.0	after	1	40
400_2	15	250.0	before	0	55
100_2	1	100.0	same time	-1	50
100_2	2	100.0	after	1	80
100_2	3	100.0	after	1	60
100_2	4	50.0	same time	-1	40
100_2	5	50.0	same time	-1	25
100_2	6	50.0	same time	-1	0
100_2	7	50.0	before	0	65
100_2	8	50.0	before	0	35
100_2	9	100.0	after	1	25
100_2	10	100.0	after	1	15
100_2	11	50.0	same time	-1	45
100_2	12	50.0	after	1	55
100_2	13	50.0	after	1	15
100_2	14	0.0	after	1	35
100_2	15	0.0	same time	-1	17
Post_task_question	TaskGeneral	39	NA	NA	NA
Post_task_question	Difficulty	95	NA	NA	NA
Post_task_question	Breathless	0	NA	NA	NA
