Participant ID	131
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	200	same time	-1	60
Training	2	350	after	1	50
Training	3	500	after	1	70
400_1	1	400.0	before	0	60
400_1	2	400.0	same time	-1	60
400_1	3	400.0	after	1	70
400_1	4	400.0	before	0	50
400_1	5	400.0	before	0	70
400_1	6	450.0	after	1	70
400_1	7	450.0	after	1	70
400_1	8	400.0	same time	-1	80
400_1	9	400.0	same time	-1	70
400_1	10	400.0	after	1	60
400_1	11	400.0	same time	-1	75
400_1	12	400.0	before	0	70
400_1	13	400.0	same time	-1	75
400_1	14	400.0	same time	-1	70
400_1	15	400.0	before	0	60
100_1	1	100.0	after	1	70
100_1	2	100.0	after	1	70
100_1	3	50.0	after	1	75
100_1	4	50.0	after	1	70
100_1	5	0.0	after	1	60
100_1	6	0.0	after	1	70
100_1	7	0.0	same time	-1	75
100_1	8	0.0	after	1	70
100_1	9	0.0	after	1	60
100_1	10	0.0	after	1	70
100_1	11	0.0	before	0	80
100_1	12	0.0	after	1	60
100_1	13	0.0	before	0	70
100_1	14	0.0	after	1	75
100_1	15	0.0	before	0	60
400_2	1	400.0	after	1	80
400_2	2	400.0	same time	-1	70
400_2	3	400.0	after	1	60
400_2	4	350.0	before	0	70
400_2	5	350.0	same time	-1	80
400_2	6	350.0	same time	-1	60
400_2	7	350.0	before	0	75
400_2	8	400.0	before	0	80
400_2	9	400.0	before	0	70
400_2	10	450.0	same time	-1	60
400_2	11	450.0	same time	-1	80
400_2	12	450.0	after	1	60
400_2	13	450.0	after	1	75
400_2	14	400.0	same time	-1	70
400_2	15	400.0	before	0	80
100_2	1	100.0	after	1	70
100_2	2	100.0	after	1	60
100_2	3	50.0	after	1	70
100_2	4	50.0	before	0	80
100_2	5	50.0	before	0	70
100_2	6	100.0	same time	-1	75
100_2	7	100.0	same time	-1	75
100_2	8	100.0	before	0	60
100_2	9	100.0	same time	-1	70
100_2	10	100.0	after	1	80
100_2	11	100.0	same time	-1	60
100_2	12	100.0	same time	-1	75
100_2	13	100.0	before	0	70
100_2	14	100.0	after	1	60
100_2	15	100.0	before	0	60
Post_task_question	TaskGeneral	86	NA	NA	NA
Post_task_question	Difficulty	25	NA	NA	NA
Post_task_question	Breathless	8	NA	NA	NA
