Participant ID	119
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	350	after	1	40
Training	2	250	same time	-1	40
400_1	1	400.0	before	0	70
400_1	2	400.0	before	0	75
400_1	3	450.0	same time	-1	60
400_1	4	450.0	same time	-1	80
400_1	5	450.0	before	0	70
400_1	6	450.0	same time	-1	40
400_1	7	450.0	before	0	40
400_1	8	500.0	same time	-1	20
400_1	9	500.0	before	0	60
400_1	10	500.0	same time	-1	65
400_1	11	500.0	after	1	55
400_1	12	500.0	after	1	50
400_1	13	450.0	same time	-1	40
400_1	14	450.0	before	0	70
400_1	15	450.0	before	0	20
100_1	1	100.0	same time	-1	50
100_1	2	100.0	after	1	10
100_1	3	100.0	before	0	25
100_1	4	100.0	before	0	5
100_1	5	150.0	before	0	0
100_1	6	150.0	same time	-1	20
100_1	7	150.0	same time	-1	60
100_1	8	150.0	before	0	60
100_1	9	200.0	before	0	70
100_1	10	200.0	before	0	20
100_1	11	250.0	before	0	55
100_1	12	250.0	same time	-1	55
100_1	13	250.0	before	0	70
100_1	14	300.0	same time	-1	40
100_1	15	300.0	before	0	65
400_2	1	400.0	after	1	40
400_2	2	400.0	same time	-1	55
400_2	3	400.0	same time	-1	20
400_2	4	400.0	same time	-1	80
400_2	5	400.0	same time	-1	60
400_2	6	400.0	after	1	40
400_2	7	350.0	before	0	10
400_2	8	350.0	same time	-1	55
400_2	9	350.0	after	1	15
400_2	10	350.0	same time	-1	20
400_2	11	350.0	same time	-1	65
400_2	12	350.0	before	0	60
400_2	13	350.0	before	0	30
400_2	14	400.0	same time	-1	10
400_2	15	400.0	after	1	40
100_2	1	100.0	before	0	65
100_2	2	100.0	same time	-1	10
100_2	3	100.0	before	0	70
100_2	4	150.0	before	0	50
100_2	5	150.0	before	0	45
100_2	6	200.0	same time	-1	15
100_2	7	200.0	same time	-1	60
100_2	8	200.0	before	0	50
100_2	9	200.0	same time	-1	0
100_2	10	200.0	same time	-1	35
100_2	11	200.0	same time	-1	75
100_2	12	200.0	after	1	30
100_2	13	200.0	before	0	45
100_2	14	200.0	before	0	40
100_2	15	250.0	same time	-1	85
Post_task_question	TaskGeneral	43	NA	NA	NA
Post_task_question	Difficulty	93	NA	NA	NA
Post_task_question	Breathless	56	NA	NA	NA
