Participant ID	024
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	600	same time	-1	64
Training	2	100	after	1	40
400_1	1	400.0	after	1	65
400_1	2	400.0	after	1	60
400_1	3	350.0	before	0	58
400_1	4	350.0	before	0	70
400_1	5	400.0	same time	-1	60
400_1	6	400.0	before	0	40
400_1	7	400.0	before	0	40
400_1	8	450.0	after	1	55
400_1	9	450.0	same time	-1	30
400_1	10	450.0	same time	-1	55
400_1	11	450.0	same time	-1	60
400_1	12	450.0	before	0	70
400_1	13	450.0	same time	-1	70
400_1	14	450.0	after	1	40
400_1	15	450.0	before	0	50
100_1	1	100.0	before	0	40
100_1	2	100.0	same time	-1	40
100_1	3	100.0	before	0	50
100_1	4	150.0	after	1	55
100_1	5	150.0	after	1	34
100_1	6	100.0	same time	-1	60
100_1	7	100.0	after	1	60
100_1	8	100.0	before	0	55
100_1	9	100.0	same time	-1	40
100_1	10	100.0	same time	-1	60
100_1	11	100.0	before	0	60
100_1	12	150.0	before	0	65
100_1	13	150.0	same time	-1	65
100_1	14	150.0	before	0	50
100_1	15	200.0	same time	-1	40
400_2	1	400.0	before	0	60
400_2	2	400.0	same time	-1	50
400_2	3	400.0	same time	-1	30
400_2	4	400.0	after	1	40
400_2	5	400.0	same time	-1	55
400_2	6	400.0	before	0	30
400_2	7	400.0	same time	-1	40
400_2	8	400.0	after	1	60
400_2	9	400.0	same time	-1	50
400_2	10	400.0	before	0	25
400_2	11	400.0	same time	-1	60
400_2	12	400.0	same time	-1	50
400_2	13	400.0	before	0	55
400_2	14	450.0	after	1	60
400_2	15	450.0	before	0	30
100_2	1	100.0	after	1	60
100_2	2	100.0	same time	-1	62
100_2	3	100.0	after	1	25
100_2	4	50.0	same time	-1	0
100_2	5	50.0	after	1	60
100_2	6	50.0	same time	-1	55
100_2	7	50.0	after	1	55
100_2	8	0.0	same time	-1	60
100_2	9	0.0	before	0	50
100_2	10	0.0	before	0	60
100_2	11	50.0	same time	-1	70
100_2	12	50.0	same time	-1	50
100_2	13	50.0	same time	-1	50
100_2	14	50.0	before	0	10
100_2	15	50.0	same time	-1	40
Post_task_question	TaskGeneral	86	NA	NA	NA
Post_task_question	Difficulty	90	NA	NA	NA
Post_task_question	Breathless	7	NA	NA	NA
