Participant ID	091
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	150	after	1	37
Training	2	400	same time	-1	40
400_1	1	400.0	same time	-1	63
400_1	2	400.0	before	0	35
400_1	3	400.0	before	0	35
400_1	4	450.0	same time	-1	40
400_1	5	450.0	after	1	50
400_1	6	450.0	same time	-1	27
400_1	7	450.0	same time	-1	54
400_1	8	450.0	before	0	70
400_1	9	450.0	same time	-1	48
400_1	10	450.0	after	1	30
400_1	11	450.0	after	1	35
400_1	12	400.0	same time	-1	58
400_1	13	400.0	after	1	25
400_1	14	400.0	before	0	40
400_1	15	400.0	before	0	45
100_1	1	100.0	same time	-1	65
100_1	2	100.0	after	1	52
100_1	3	100.0	same time	-1	61
100_1	4	100.0	before	0	20
100_1	5	100.0	before	0	32
100_1	6	150.0	same time	-1	48
100_1	7	150.0	before	0	37
100_1	8	150.0	after	1	10
100_1	9	150.0	after	1	22
100_1	10	100.0	before	0	45
100_1	11	100.0	same time	-1	46
100_1	12	100.0	after	1	30
100_1	13	100.0	same time	-1	50
100_1	14	100.0	after	1	40
100_1	15	50.0	same time	-1	52
400_2	1	400.0	same time	-1	20
400_2	2	400.0	after	1	25
400_2	3	400.0	same time	-1	30
400_2	4	400.0	before	0	34
400_2	5	400.0	after	1	29
400_2	6	400.0	before	0	35
400_2	7	400.0	same time	-1	50
400_2	8	400.0	before	0	48
400_2	9	450.0	after	1	40
400_2	10	450.0	same time	-1	60
400_2	11	450.0	before	0	55
400_2	12	450.0	after	1	17
400_2	13	450.0	before	0	28
400_2	14	450.0	after	1	42
400_2	15	450.0	same time	-1	15
100_2	1	100.0	before	0	15
100_2	2	100.0	same time	-1	40
100_2	3	100.0	after	1	30
100_2	4	100.0	same time	-1	30
100_2	5	100.0	same time	-1	40
100_2	6	100.0	after	1	4
100_2	7	50.0	before	0	25
100_2	8	50.0	after	1	16
100_2	9	50.0	before	0	15
100_2	10	50.0	same time	-1	20
100_2	11	50.0	same time	-1	25
100_2	12	50.0	after	1	27
100_2	13	50.0	before	0	31
100_2	14	50.0	before	0	32
100_2	15	100.0	same time	-1	35
Post_task_question	TaskGeneral	52	NA	NA	NA
Post_task_question	Difficulty	61	NA	NA	NA
Post_task_question	Breathless	4	NA	NA	NA
