Participant ID	069
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	0	before	0	55
Training	2	50	same time	-1	48
400_1	1	400.0	after	1	33
400_1	2	400.0	same time	-1	43
400_1	3	400.0	before	0	60
400_1	4	400.0	before	0	51
400_1	5	450.0	same time	-1	40
400_1	6	450.0	after	1	50
400_1	7	450.0	before	0	37
400_1	8	450.0	after	1	52
400_1	9	450.0	same time	-1	56
400_1	10	450.0	after	1	49
400_1	11	400.0	before	0	51
400_1	12	400.0	before	0	65
400_1	13	450.0	after	1	49
400_1	14	450.0	after	1	45
400_1	15	400.0	same time	-1	55
100_1	1	100.0	after	1	33
100_1	2	100.0	same time	-1	40
100_1	3	100.0	before	0	55
100_1	4	100.0	before	0	44
100_1	5	150.0	after	1	37
100_1	6	150.0	same time	-1	52
100_1	7	150.0	same time	-1	51
100_1	8	150.0	same time	-1	61
100_1	9	150.0	before	0	59
100_1	10	150.0	after	1	70
100_1	11	150.0	before	0	60
100_1	12	150.0	before	0	63
100_1	13	200.0	before	0	65
100_1	14	200.0	same time	-1	50
100_1	15	200.0	after	1	40
400_2	1	400.0	before	0	39
400_2	2	400.0	same time	-1	49
400_2	3	400.0	after	1	58
400_2	4	400.0	same time	-1	55
400_2	5	400.0	before	0	60
400_2	6	400.0	after	1	35
400_2	7	400.0	before	0	60
400_2	8	400.0	before	0	60
400_2	9	450.0	same time	-1	45
400_2	10	450.0	after	1	40
400_2	11	450.0	same time	-1	60
400_2	12	450.0	before	0	73
400_2	13	450.0	before	0	42
400_2	14	500.0	before	0	48
400_2	15	500.0	before	0	50
100_2	1	100.0	same time	-1	50
100_2	2	100.0	after	1	58
100_2	3	100.0	same time	-1	50
100_2	4	100.0	same time	-1	55
100_2	5	100.0	same time	-1	49
100_2	6	100.0	before	0	78
100_2	7	100.0	before	0	60
100_2	8	150.0	before	0	55
100_2	9	150.0	after	1	62
100_2	10	150.0	before	0	60
100_2	11	150.0	same time	-1	70
100_2	12	150.0	after	1	40
100_2	13	150.0	before	0	42
100_2	14	150.0	before	0	49
100_2	15	200.0	same time	-1	60
Post_task_question	TaskGeneral	74	NA	NA	NA
Post_task_question	Difficulty	60	NA	NA	NA
Post_task_question	Breathless	0	NA	NA	NA
