Participant ID	073
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	200	same time	-1	10
Training	2	100	before	0	0
400_1	1	400.0	after	1	10
400_1	2	400.0	after	1	10
400_1	3	350.0	same time	-1	20
400_1	4	350.0	same time	-1	10
400_1	5	350.0	before	0	30
400_1	6	350.0	before	0	5
400_1	7	400.0	same time	-1	20
400_1	8	400.0	before	0	10
400_1	9	400.0	before	0	10
400_1	10	450.0	same time	-1	5
400_1	11	450.0	before	0	15
400_1	12	450.0	same time	-1	10
400_1	13	450.0	same time	-1	20
400_1	14	450.0	before	0	30
400_1	15	500.0	before	0	20
100_1	1	100.0	after	1	25
100_1	2	100.0	same time	-1	30
100_1	3	100.0	same time	-1	15
100_1	4	100.0	before	0	10
100_1	5	100.0	before	0	15
100_1	6	150.0	same time	-1	20
100_1	7	150.0	after	1	10
100_1	8	150.0	before	0	15
100_1	9	150.0	before	0	5
100_1	10	200.0	before	0	0
100_1	11	200.0	before	0	5
100_1	12	250.0	before	0	25
100_1	13	250.0	before	0	5
100_1	14	300.0	same time	-1	5
100_1	15	300.0	before	0	5
400_2	1	400.0	same time	-1	5
400_2	2	400.0	same time	-1	10
400_2	3	400.0	same time	-1	10
400_2	4	400.0	after	1	5
400_2	5	400.0	before	0	10
400_2	6	400.0	same time	-1	10
400_2	7	400.0	same time	-1	15
400_2	8	400.0	before	0	5
400_2	9	450.0	same time	-1	10
400_2	10	450.0	same time	-1	5
400_2	11	450.0	after	1	10
400_2	12	450.0	same time	-1	5
400_2	13	450.0	same time	-1	0
400_2	14	450.0	before	0	10
400_2	15	450.0	before	0	5
100_2	1	100.0	same time	-1	5
100_2	2	100.0	same time	-1	10
100_2	3	100.0	before	0	5
100_2	4	100.0	before	0	20
100_2	5	150.0	same time	-1	20
100_2	6	150.0	same time	-1	0
100_2	7	150.0	after	1	10
100_2	8	150.0	same time	-1	10
100_2	9	150.0	same time	-1	10
100_2	10	150.0	same time	-1	0
100_2	11	150.0	same time	-1	5
100_2	12	150.0	before	0	10
100_2	13	150.0	same time	-1	5
100_2	14	150.0	same time	-1	10
100_2	15	150.0	same time	-1	15
Post_task_question	TaskGeneral	20	NA	NA	NA
Post_task_question	Difficulty	20	NA	NA	NA
Post_task_question	Breathless	70	NA	NA	NA
